MARI BLANCHARD
MARIE DAEMS
MARIE-FRANCE PISIER
MARIE-JOSE NAT
MARIE LAFORET
MARIE WINDSOR
MARILYN MONROE
MARINA BERENSON
MARINA FOÏS
MARINA VLADY
MARISA PAVAN
MARJORIE MAIN
MARLENE JOBERT
MARION COTILLARD
MARION GAME
MARSHA HUNT
MARTINE CAROL
MARY MARQUET
MARLENE DIETRICH
MARTINE KELLY
MARTINE SARCEY 
MARY ANDERSON
MARY ANN MOBLEY
MARIE DUBOIS
MARISAN PAVAN
MARTHE MERCADIER
MARTHE KELLER
MARTHE VILLALONGA
MARY MURPHY
MARY STEENBURGEN
MARY TYLER MOORE
MAUD ADAMS
MAUD WYLER
MAUREEN O'HARA
MELINA KANAKAREDES
MELANIE GRIFFTIH
MELINA MERCOURI
MELISSA GILBERT
MELISSA LEO
MERCEDES MCCAMBRIDGE
MERYL STREEP
MICHELE MERCIER
MICHELE MORGAN
MICHELINE DAX 
MICHELINE PRESLE
MICHELLE DOCKERY
MICHELINE LUCCIONI
MICHELLE PFEIFFER
MILA PARELY
MILLIE PERKINS
MINNIE DRIVER
MINSY FARMER
MIOU-MIOU
MIREILLE DARC
MIREILLE ENOS 
MIRIAM KARLIN
MISTY UPHAM
MONICA SCATTINI
MONICA VITTI
MONIQUE MELINAND
MYLENE DEMONGEOT
MYRNA LOY
NADIA BARENTIN
NADINE ALARI
NADJA TILLER
NANCY REAGAN
NASTASSIA KINSKI
NATALIE WOOD
NATHALIE BAYE
NATHALIE BESANCON
NATHALIE DELON
NATASHA RICHARDSON
NICOLETTA MACHIAVELLI
NICOLE BERGER
NICOLE CALFAN 
NICOLE COURCEL
NICOLE GARCIA
NICOLE KIDMAN
NICOLE MAUREY
NOEMIE LVOVSKY
NOOMIE RAPACE
ODETTE JOYEUX
ODETTE LAURE
ODILE VERSOIS
OLIVIA DE HAVILLAND
OLYMPIA DUKAKIS
ORNELLA MUTI
PASCALE ARBILLOT
PASCALE PETIT
PASCALE ROBERTS
PATACHOU
PATRICIA BARRY
PATRICIA DONAHUE
PATRICIA KARIM
PATRICIA NEAL
PATTY DUKE
PAULA RAYMOND
PAULETTE DUBOST
PENELOPE CRUZ
PENNE HACKFORTH-JONES
PERRETTE PRADIER
PETULA CLARK
PHYLLIDA LAW
PHYLLIS THAXTER
PIPER LAURIE
POLLY BERGEN
POPPY MONTGOMERY
RACHEL WEISZ
RAQUEL WELCH
REBECCA FRONT
REGINA BIANCHI
RENEE SAINT CYR
RHONDA FLEMING
RITA HAYWORTH
ROBIN WRIGHT
ROMY SCHNEIDER
ROSAMUND PIKE
ROSARIO DAWSON
ROSSANA PODESTA
ROSY VARTE
RUBY DEE
SABINE AZEMA
SALLY FIELD
SALLY HAWKINS
SALLY KELLERMAN
SAMANTHA EGGAR
SANDRA BERNHARD
SANDRA BULLOCK
SANDRA HÜLLER
SANDRINE KIBERLAIN
SARA FORESTIER
SARAH JESSICA PARKER
SARA MONTIEL
SASKIA REEVES
SHARON ACKER
SHARON FARRELL
SHELLEY DUVALL
SHELLEY WINTERS
SHEREE NORTH
SHERILYN FENN
SHIRLEY KNIGHT
SIENNA MILLER
SILVANA MANGANO
SILVANA PAMPANINI
SIMONE RENANT
SIMONE SIGNORET
SIMONE VALERE
SISSY SPACEK
SONIA PETROVNA
SOPHIA LOREN
SOPHIE BARJAC
SOPHIE DAUMIER
SOPHIE DESMARETS
SOPHIE MARCEAU
SOPHIE THOMPSON
SHIRLEY MACLAINE
SHIRLEY MITCHELL
SHIRLEY TEMPLE
STEFANIA SANDRELLI
STEFANIE POWERS
STELLA STEVENS
SUSAN SARANDON
SUSAN ANSPACH 
SUSAN GEORGE
SUSAN HAYWARD
SUSANNAH YORK
SUZANNE FLON
SUZANNE LOTHAR
SUZANNE SOMERS
SUSAN STRASBERG
SUSAN TYRRELL
SUZY CARRIER
SUZY DELAIR
SYBIL DANNING
SYDNE ROME
SYLVA KOSCINA
SYLVIA KRISTEL
SYLVIA SIDNEY
SYLVIE
TANYA ROBERTS
TERESA WRIGHT
TERI HATCHER 
THERESA SALDANA
TILDA SWINTON
TINA LOUISE
TIPPI HEDREN
TSILLA CHELTON 
VALENTINA CORTESE 
VALERIA BRUNI TEDESCHI
VALERIE BENGUIGUI
VALERIE LANG
VALERIE MAIRESSE
VANESSA REDGRAVE
VERA MILES
VERONICA LAKE
VIRGINIA GREGG
VIRGINIA MADSEN
VIRGINIA MAYO
VIRNA LISI
